nome,casa/fuori,descrizione
cucinare,casa,assistenza nella preparazione di pasti o bevande
parlare,casa,tenere compagnia semplicemente scambiando qualche parola
giocare,casa,tenere compagnia divertendosi con qualche gioco
leggere,casa,tenere compagnia leggendo qualcosa
assistenza medica,casa,assistenza medica di primo livello in casa
sicurezza,casa,protezione per tenere gli anziani al sicuro
spesa,fuori,fare la spesa per gli anziani o con essi
passeggiata,fuori,assistenza agli anziani durante la passeggiata
visita medica,fuori,accompagnamento degli anziani ai vari ambulatori o ospedali
visita parenti,fuori,accompagnamento degli anziani a visitare i vari parenti
shopping,fuori,accompagnamento degli anziani per vari negozi
servizi pubblici,fuori,accompagnamento degli anziani alle poste o agli uffici pubblici
